[kW];Attribut;Wert
01.01.2015;00:15;278
01.01.2015;00:30;258
01.01.2015;00:45;278
01.01.2015;01:00;268
01.01.2015;01:15;260
01.01.2015;01:30;272
01.01.2015;01:45;266
01.01.2015;02:00;262
01.01.2015;02:15;272
01.01.2015;02:30;250
01.01.2015;02:45;270
01.01.2015;03:00;274
01.01.2015;03:15;258
01.01.2015;03:30;278
01.01.2015;03:45;256
01.01.2015;04:00;278
01.01.2015;04:15;256
01.01.2015;04:30;280
01.01.2015;04:45;262
01.01.2015;05:00;272
01.01.2015;05:15;274
01.01.2015;05:30;268
01.01.2015;05:45;264
01.01.2015;06:00;270
01.01.2015;06:15;282
01.01.2015;06:30;268
01.01.2015;06:45;286
01.01.2015;07:00;298
01.01.2015;07:15;336
01.01.2015;07:30;352
01.01.2015;07:45;372
01.01.2015;08:00;356
01.01.2015;08:15;352
01.01.2015;08:30;348
01.01.2015;08:45;348
01.01.2015;09:00;340
01.01.2015;09:15;340
01.01.2015;09:30;334
01.01.2015;09:45;328
01.01.2015;10:00;342
01.01.2015;10:15;348
01.01.2015;10:30;330
01.01.2015;10:45;344
01.01.2015;11:00;346
01.01.2015;11:15;318
01.01.2015;11:30;344
01.01.2015;11:45;344
01.01.2015;12:00;352
01.01.2015;12:15;326
01.01.2015;12:30;344
01.01.2015;12:45;340
01.01.2015;13:00;342
01.01.2015;13:15;336
01.01.2015;13:30;328
01.01.2015;13:45;352
01.01.2015;14:00;340
01.01.2015;14:15;338
01.01.2015;14:30;340
01.01.2015;14:45;338
01.01.2015;15:00;346
01.01.2015;15:15;342
01.01.2015;15:30;340
01.01.2015;15:45;342
01.01.2015;16:00;342
01.01.2015;16:15;322
01.01.2015;16:30;340
01.01.2015;16:45;346
01.01.2015;17:00;322
01.01.2015;17:15;350
01.01.2015;17:30;330
01.01.2015;17:45;340
01.01.2015;18:00;330
01.01.2015;18:15;344
01.01.2015;18:30;320
01.01.2015;18:45;350
01.01.2015;19:00;342
01.01.2015;19:15;320
01.01.2015;19:30;342
01.01.2015;19:45;342
01.01.2015;20:00;334
01.01.2015;20:15;266
01.01.2015;20:30;276
01.01.2015;20:45;262
01.01.2015;21:00;276
01.01.2015;21:15;264
01.01.2015;21:30;264
01.01.2015;21:45;268
01.01.2015;22:00;278
01.01.2015;22:15;264
01.01.2015;22:30;276
01.01.2015;22:45;264
01.01.2015;23:00;268
01.01.2015;23:15;270
01.01.2015;23:30;260
01.01.2015;23:45;286
01.01.2015;00:00;272
02.01.2015;00:15;286
02.01.2015;00:30;258
02.01.2015;00:45;274
02.01.2015;01:00;272
02.01.2015;01:15;262
02.01.2015;01:30;274
02.01.2015;01:45;264
02.01.2015;02:00;266
02.01.2015;02:15;264
02.01.2015;02:30;252
02.01.2015;02:45;268
02.01.2015;03:00;236
02.01.2015;03:15;262
02.01.2015;03:30;268
02.01.2015;03:45;254
02.01.2015;04:00;252
02.01.2015;04:15;260
02.01.2015;04:30;246
02.01.2015;04:45;266
02.01.2015;05:00;264
02.01.2015;05:15;250
02.01.2015;05:30;276
02.01.2015;05:45;264
02.01.2015;06:00;268
02.01.2015;06:15;286
02.01.2015;06:30;274
02.01.2015;06:45;292
02.01.2015;07:00;302
02.01.2015;07:15;350
02.01.2015;07:30;376
02.01.2015;07:45;350
02.01.2015;08:00;388
02.01.2015;08:15;386
02.01.2015;08:30;408
02.01.2015;08:45;398
02.01.2015;09:00;424
02.01.2015;09:15;408
02.01.2015;09:30;404
02.01.2015;09:45;416
02.01.2015;10:00;404
02.01.2015;10:15;406
02.01.2015;10:30;382
02.01.2015;10:45;374
02.01.2015;11:00;374
02.01.2015;11:15;360
02.01.2015;11:30;360
02.01.2015;11:45;372
02.01.2015;12:00;358
02.01.2015;12:15;366
02.01.2015;12:30;352
02.01.2015;12:45;368
02.01.2015;13:00;378
02.01.2015;13:15;404
02.01.2015;13:30;474
02.01.2015;13:45;448
02.01.2015;14:00;380
02.01.2015;14:15;418
02.01.2015;14:30;428
02.01.2015;14:45;410
02.01.2015;15:00;426
02.01.2015;15:15;452
02.01.2015;15:30;400
02.01.2015;15:45;432
02.01.2015;16:00;434
02.01.2015;16:15;404
02.01.2015;16:30;434
02.01.2015;16:45;408
02.01.2015;17:00;418
02.01.2015;17:15;412
02.01.2015;17:30;422
